window_id,t_start_s,t_end_s,activity,motion_mg,p_2,p_4,p_5,p_6,p_93,p_98,p_142,detections
3B8D_w0118,1213.0,1223.0,walk_before,0.78,0.006,0.044,0.098,0.038,0.021,0.019,0.001,-
3B8D_w0119,1223.0,1233.0,walk_before,0.85,0.009,0.027,0.075,0.032,0.015,0.017,0.001,-
3B8D_w0120,1233.0,1243.0,walk_before,1.49,0.022,0.054,0.133,0.19,0.028,0.042,0.002,-
3B8D_w0121,1243.0,1253.0,walk_before,0.66,0.0,0.112,0.07,0.489,0.007,0.029,0.0,-
3B8D_w0122,1253.0,1263.0,walk_before,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0123,1263.0,1273.0,walk_before,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0124,1273.0,1283.0,walk_before,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0125,1283.0,1293.0,run,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0126,1293.0,1303.0,run,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0127,1303.0,1313.0,run,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0128,1313.0,1323.0,run,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0129,1323.0,1333.0,run,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0130,1333.0,1343.0,run,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0131,1343.0,1353.0,run,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0132,1353.0,1363.0,run,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0133,1363.0,1373.0,run,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0134,1373.0,1383.0,run,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0135,1383.0,1393.0,run,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0136,1393.0,1403.0,run,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0137,1403.0,1413.0,run,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0138,1413.0,1423.0,run,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0139,1423.0,1433.0,run,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0140,1433.0,1443.0,run,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0141,1443.0,1453.0,run,1.67,0.015,0.21,0.192,0.346,0.101,0.327,0.003,-
3B8D_w0142,1453.0,1463.0,run,4.96,0.003,0.089,0.19,0.964,0.395,0.657,0.001,Sinus Tachycardia; Ventricular Run
3B8D_w0143,1463.0,1473.0,run,5.2,0.002,0.071,0.164,0.924,0.241,0.509,0.001,Sinus Tachycardia; Ventricular Run
3B8D_w0144,1473.0,1483.0,run,5.04,0.002,0.067,0.394,0.963,0.459,0.709,0.001,Sinus Tachycardia; Ventricular Run
3B8D_w0145,1483.0,1493.0,run,5.03,0.003,0.071,0.566,0.961,0.307,0.512,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0146,1493.0,1503.0,run,5.04,0.003,0.085,0.196,0.942,0.31,0.558,0.001,Sinus Tachycardia; Ventricular Run
3B8D_w0147,1503.0,1513.0,run,4.43,0.004,0.082,0.365,0.945,0.323,0.568,0.002,Sinus Tachycardia; Ventricular Run
3B8D_w0148,1513.0,1523.0,run,2.78,0.008,0.184,0.72,0.916,0.197,0.344,0.003,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0149,1523.0,1533.0,run,2.84,0.007,0.137,0.578,0.909,0.352,0.498,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0150,1533.0,1543.0,run,2.31,0.009,0.095,0.226,0.979,0.408,0.617,0.001,Sinus Tachycardia; Ventricular Run
3B8D_w0151,1543.0,1553.0,run,1.34,0.008,0.061,0.112,0.978,0.31,0.285,0.003,Sinus Tachycardia
3B8D_w0152,1553.0,1563.0,run,1.04,0.003,0.029,0.334,0.961,0.161,0.154,0.003,Sinus Tachycardia
3B8D_w0153,1563.0,1573.0,run,4.07,0.004,0.063,0.896,0.922,0.066,0.12,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0154,1573.0,1583.0,run,5.49,0.003,0.128,0.735,0.866,0.27,0.464,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0155,1583.0,1593.0,run,5.58,0.005,0.099,0.853,0.893,0.21,0.338,0.004,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0156,1593.0,1603.0,run,5.29,0.004,0.097,0.854,0.85,0.265,0.463,0.003,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0157,1603.0,1613.0,run,5.31,0.004,0.099,0.758,0.862,0.38,0.578,0.005,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0158,1613.0,1623.0,run,5.18,0.002,0.087,0.266,0.964,0.5,0.777,0.001,Sinus Tachycardia; Supraventricular Run; Ventricular Run
3B8D_w0159,1623.0,1633.0,run,5.07,0.001,0.07,0.223,0.968,0.552,0.783,0.001,Sinus Tachycardia; Supraventricular Run; Ventricular Run
3B8D_w0160,1633.0,1643.0,run,4.92,0.003,0.086,0.396,0.975,0.532,0.79,0.001,Sinus Tachycardia; Supraventricular Run; Ventricular Run
3B8D_w0161,1643.0,1653.0,run,4.87,0.004,0.083,0.34,0.929,0.403,0.689,0.001,Sinus Tachycardia; Ventricular Run
3B8D_w0162,1653.0,1663.0,run,5.12,0.003,0.066,0.306,0.962,0.44,0.765,0.001,Sinus Tachycardia; Ventricular Run
3B8D_w0163,1663.0,1673.0,run,4.9,0.004,0.116,0.579,0.772,0.383,0.573,0.001,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0164,1673.0,1683.0,run,4.79,0.003,0.09,0.66,0.928,0.379,0.583,0.001,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0165,1683.0,1693.0,run,4.48,0.001,0.072,0.581,0.959,0.343,0.634,0.001,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0166,1693.0,1703.0,run,4.77,0.008,0.072,0.412,0.882,0.389,0.539,0.001,Sinus Tachycardia; Ventricular Run
3B8D_w0167,1703.0,1713.0,run,4.74,0.005,0.067,0.422,0.885,0.345,0.648,0.001,Sinus Tachycardia; Ventricular Run
3B8D_w0168,1713.0,1723.0,run,4.58,0.005,0.072,0.657,0.875,0.38,0.582,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0169,1723.0,1733.0,run,4.61,0.006,0.113,0.491,0.933,0.3,0.574,0.002,Sinus Tachycardia; Ventricular Run
3B8D_w0170,1733.0,1743.0,run,4.67,0.005,0.074,0.482,0.965,0.419,0.678,0.001,Sinus Tachycardia; Ventricular Run
3B8D_w0171,1743.0,1753.0,run,4.77,0.002,0.077,0.343,0.957,0.439,0.716,0.001,Sinus Tachycardia; Ventricular Run
3B8D_w0172,1753.0,1763.0,run,4.42,0.008,0.08,0.573,0.949,0.412,0.615,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0173,1763.0,1773.0,run,4.21,0.001,0.068,0.374,0.93,0.335,0.665,0.001,Sinus Tachycardia; Ventricular Run
3B8D_w0174,1773.0,1783.0,run,4.18,0.005,0.09,0.394,0.821,0.302,0.574,0.001,Sinus Tachycardia; Ventricular Run
3B8D_w0175,1783.0,1793.0,run,4.65,0.008,0.099,0.442,0.808,0.324,0.501,0.002,Sinus Tachycardia; Ventricular Run
3B8D_w0176,1793.0,1803.0,run,4.67,0.005,0.086,0.514,0.765,0.288,0.557,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0177,1803.0,1813.0,run,4.49,0.007,0.103,0.403,0.514,0.226,0.56,0.003,Sinus Tachycardia; Ventricular Run
3B8D_w0178,1813.0,1823.0,run,4.57,0.006,0.076,0.545,0.937,0.324,0.566,0.001,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0179,1823.0,1833.0,run,4.72,0.009,0.08,0.479,0.868,0.329,0.537,0.001,Sinus Tachycardia; Ventricular Run
3B8D_w0180,1833.0,1843.0,run,4.69,0.005,0.049,0.53,0.923,0.357,0.705,0.001,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0181,1843.0,1853.0,run,4.7,0.007,0.076,0.683,0.887,0.341,0.616,0.003,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0182,1853.0,1863.0,run,4.54,0.012,0.092,0.245,0.765,0.241,0.512,0.002,Sinus Tachycardia; Ventricular Run
3B8D_w0183,1863.0,1873.0,run,4.71,0.005,0.091,0.283,0.853,0.463,0.724,0.002,Sinus Tachycardia; Ventricular Run
3B8D_w0184,1873.0,1883.0,run,4.44,0.007,0.114,0.395,0.621,0.235,0.48,0.002,Sinus Tachycardia
3B8D_w0185,1883.0,1893.0,run,3.74,0.003,0.077,0.537,0.955,0.394,0.769,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0186,1893.0,1903.0,run,2.69,0.009,0.084,0.402,0.978,0.351,0.512,0.001,Sinus Tachycardia; Ventricular Run
3B8D_w0187,1903.0,1913.0,run,4.71,0.004,0.098,0.521,0.954,0.291,0.578,0.003,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0188,1913.0,1923.0,run,4.56,0.002,0.116,0.521,0.93,0.363,0.737,0.003,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0189,1923.0,1933.0,run,4.63,0.004,0.105,0.609,0.95,0.381,0.637,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0190,1933.0,1943.0,run,2.85,0.0,0.003,0.967,0.152,0.023,0.108,0.0,Atrial Fibrillation(suppressed)
3B8D_w0191,1943.0,1953.0,run,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
