dynamic_range_mv,flat_pct,clip_pct,baseline_drift,hf_noise_ratio,snr_proxy,kurt,n_peaks,mean_hr_bpm,rr_cv,pct_physiologic_hr,sqi_score_ecg,mean_motion_mg,std_motion_mg,max_motion_mg,sqi_score_amb,sqi_class,activity_label,subject
2.921954870223999,0.0,2.46,0.03934379600429258,0.01588719093449627,2.6588199895406746,5.817259184837196,27,163.9344262295082,0.005394889770515898,100.0,0.8452033401257636,1.7895803912545039,4.334333823029705,192.7610916090573,0.8300777468846448,good,run,03FH
2.9919435381889343,0.0,2.1399999999999997,0.0711461643101147,0.015659650910205256,2.415409217234608,6.532494928294295,28,163.04347826086956,0.0343690170446079,100.0,0.8437769794843868,1.7115314350073605,4.374689810731911,212.75619940915576,0.8293354712391559,good,run,03FH
2.738938271999359,0.0,2.42,0.24535702528110742,0.015061543865482623,2.0476909040810245,7.871329387571116,26,161.29032258064515,0.005085109377084181,100.0,0.8411849906650639,1.7186436348569638,4.485516960884988,218.28826935912932,0.8267280183656266,good,run,03FH
2.8649293184280396,0.0,2.3800000000000003,0.14822578513573564,0.01624505705714003,2.1159212098593216,6.480196367023337,28,163.04347826086956,0.005866325438744301,100.0,0.8247606204347687,1.7135487795910689,3.335283911517976,101.60985916157267,0.810627944888761,good,run,03FH
3.7169599533081055,0.0,1.02,0.03996917843748339,0.010886860604342161,2.0833311837262496,4.931587449669532,27,166.66666666666669,0.05065355561289773,100.0,0.8021825551920373,1.6136118649125637,3.9194083704525804,166.85335336299184,0.7892384423031997,good,run,03FH
2.9269580841064453,0.0,2.8400000000000003,0.05072624516969534,0.018528843323326966,1.9657524726156563,6.041548707781384,28,165.74585635359117,0.004515683150738516,100.0,0.8075014832376107,1.7242948660895745,4.386903742695639,166.9040039219027,0.7935777766185474,good,run,03FH
2.814953565597534,0.0,3.06,0.07216709251378149,0.0177286485300757,1.5052727680032045,6.3014198226249025,27,164.83516483516485,0.0056028352019132045,100.0,0.777450783204056,1.7714721505721456,5.073737358127381,218.09537242935278,0.763678459095191,good,run,03FH
2.950951099395752,0.0,2.36,0.14949272057476612,0.014220506485718553,2.704817491562608,6.071977689821638,28,163.9344262295082,0.006607051401945517,100.0,0.8514833287265944,1.605144443739146,4.793678077832025,222.15966017784206,0.8378157913861743,good,run,03FH
2.8569127321243286,0.0,2.68,0.07568363835673911,0.015057483527361123,2.1297023209811208,6.450227399642744,27,162.60282021151585,0.004938296967487609,100.0,0.8245777930370466,1.6523466379442022,5.520328817261855,278.5523015012034,0.8109529095965644,good,run,03FH
2.8439496755599976,0.0,2.82,0.045641129709906,0.016233508672383185,2.1533055596676376,6.60523285125927,27,164.83516483516485,0.010696056791838163,100.0,0.8280960437208186,1.671679523459682,5.225155284253325,277.20487464408217,0.8142529317233579,good,run,03FH
3.2599586844444275,0.0,1.18,0.048494220760935736,0.011843544357528692,2.1746353899017454,4.521871888207281,28,165.74585635359117,0.006332868282176121,100.0,0.8014446914833274,1.7135081901227822,3.6953160241608782,123.96204488383391,0.7877118710554564,good,run,03FH
3.243982285261154,0.0,1.94,0.06717530406602697,0.01413792157118643,1.97577041935855,5.726388991900864,28,169.49152542372883,0.007672607489387148,100.0,0.8052431524725405,1.6109203599684359,4.227595164085432,209.91573430074018,0.7922713265821086,good,run,03FH
3.0919516682624817,0.0,0.0,0.054757331479482085,0.016473813633483478,1.851233838885758,4.727604491630658,29,170.45454545454547,0.008656329633262362,100.0,0.7856411422789287,1.6659028912877745,4.668077533095039,208.62430256143261,0.7725531237745578,good,run,03FH
2.9529409408569336,0.0,1.68,0.054258683306689426,0.014816109950268106,1.893799983033152,4.679141509967511,28,170.45454545454547,0.009884272355658013,100.0,0.7845042607187829,1.885804957340395,6.338623397506922,326.0009764360389,0.7697100404796015,good,run,03FH
3.040895938873291,0.0,2.1999999999999997,0.05766725354099761,0.014997444194669913,1.8129348877220723,5.4055074948770425,28,169.49152542372883,0.009135257223371353,100.0,0.7887157683340528,1.674214281752267,5.938430164955567,322.59124142941494,0.775510976298172,good,run,03FH
2.97994726896286,0.0,1.96,0.12220384923843432,0.014351368317021152,2.370488477878944,6.277180855023463,29,170.45454545454547,0.007198699512606732,100.0,0.8377880927971214,1.8903123871477059,5.854530924154183,283.9644903439772,0.8219512807009289,good,run,03FH
3.034926176071167,0.0,0.54,0.039674495300672415,0.014941381975131734,2.252527533675847,5.078678883744406,28,170.45454545454547,0.00926492027051201,100.0,0.815795577361698,1.8311374178445192,6.007155521731161,274.5517629672798,0.8008572392915073,good,run,03FH
2.9689740538597107,0.0,1.9800000000000002,0.08398366184201428,0.016102765715255728,1.9835324106075372,5.231470982384188,28,169.49152542372883,0.006890190262626628,100.0,0.7982560089875167,1.6560566645256847,4.429378316799608,195.41297377726985,0.7850364371507021,good,run,03FH
2.928948223590851,0.0,2.08,0.0687052979904825,0.01594352330931074,2.0258421595599567,5.767125957321708,29,171.42857142857144,0.008351484876376299,100.0,0.8088797302973758,1.5955850731366554,3.6886235187615815,145.5343948118246,0.7959733660611229,good,run,03FH
2.8899455070495605,0.0,2.2800000000000002,0.04670407380656544,0.01603805372247826,2.6550850523730687,6.755507585177481,29,171.92118226600985,0.008314405400331175,100.0,0.8594514471675124,1.7435212602462051,6.1018201683421,318.660920517871,0.8444667284646532,good,run,03FH
3.0379393696784973,0.0,2.2800000000000002,0.04273910079351975,0.017778961563505863,2.2635577141274807,5.758383536486553,28,171.42857142857144,0.008235368601567069,100.0,0.8231669522493115,1.6305301002482133,5.555037985905298,317.4021938030054,0.8097449673175906,good,run,03FH
3.0979214310646057,0.0,1.5599999999999998,0.03574144235726833,0.017434132660920754,2.8286266227613326,6.0218638620715925,29,171.42857142857144,0.007530450955750031,100.0,0.8581701452041326,1.733673448644956,3.5161509622046254,124.75364562718771,0.8432922772525306,good,run,03FH
3.009909749031067,0.0,2.12,0.03620431273247172,0.016570311257694408,2.69735241843907,6.718239149575915,29,172.41379310344828,0.007284415909759504,100.0,0.8612939514484645,1.8032099156352546,5.394276325796456,257.5119965935958,0.8457630135131792,good,run,03FH
2.9759673476219177,0.0,1.34,0.025090357017034912,0.01816860281849485,2.7453522408457007,6.159918601515402,29,173.41040462427748,0.007234431610378323,100.0,0.8567925984562009,1.9293207298622899,5.787140969705576,253.16401664550713,0.8402623212422596,good,run,03FH
2.946914315223694,0.0,1.6199999999999999,0.04679313215616112,0.01692768074041803,2.299659425645222,5.851874463478357,29,172.41379310344828,0.010147186736344732,100.0,0.8280143246063193,1.8549473498326605,4.7663907665819245,177.35148262665962,0.8126550948357996,good,run,03FH
3.1379475593566895,0.0,0.12,0.05252378081054309,0.016221235472666774,2.607958045930059,6.348783259667101,29,174.4186046511628,0.009655288855519497,100.0,0.8553001921969553,1.7771008854168857,4.150421548199504,171.95024765750932,0.8401006449084509,good,run,03FH
3.0239530205726624,0.0,1.7000000000000002,0.06326625658182966,0.017374199312735688,2.5614476181721417,5.979966762279229,28,174.4186046511628,0.1602869946501969,100.0,0.8442168164560546,1.6706371532453348,3.597728927136034,119.2832279034135,0.8301130166663948,good,run,03FH
3.043909251689911,0.0,1.46,0.042905876597084336,0.016382730730584383,2.555968360965021,6.219029082476169,29,175.43859649122805,0.008940267814507642,100.0,0.8479976495824754,1.6192615442553269,3.743901110740469,123.40279834496884,0.8342663497465973,good,run,03FH
3.7109901905059814,62.452029892950925,63.75999999999999,0.8382962851617055,0.012652659714539816,0.08034730763036871,-0.018042059723349713,11,173.91450463772014,0.006066418639499333,100.0,0.3056087504270735,1.0493112451721511,11.14026353641206,519.5124358396855,0.3024019634426121,poor,run,03FH
0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,,,0.0,0.2,0.3117074615038113,11.612468469472136,519.5124358396855,0.1993765850769924,poor,run,03FH
0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,,,0.0,0.2,0.3117074615038113,11.612468469472136,519.5124358396855,0.1993765850769924,poor,run,03FH
3.7109901905059814,69.64249646536054,70.52000000000001,0.7966510270459336,0.006628341059929973,0.0646155325330875,0.5624497803568032,9,172.91209886386287,0.006083862634542137,100.0,0.2845723080257542,1.0232832402707253,11.639610004977047,519.5124358396855,0.28166032729127505,poor,run,03FH
3.0329360961914062,0.0,2.02,0.03600388632232843,0.016741223207156892,2.815789459750027,6.113338238372702,29,174.4186046511628,0.010438883489378882,100.0,0.8580330972186414,1.9168591803512398,4.238106144855912,160.8618849427233,0.8415858110241539,good,run,03FH
3.019916296005249,0.0,1.66,0.031558674933659936,0.016392720912193865,2.708885384572317,6.928548433605821,29,174.4186046511628,0.007974681904388829,100.0,0.8659293151803195,1.9734032734824256,4.921441392292507,186.04548640965035,0.8488410377285072,good,run,03FH
3.1769502758979797,0.0,0.2,0.056629002342929634,0.01603986916077389,2.4298088511349625,5.7370708016052205,29,174.4186046511628,0.00824544253167804,100.0,0.8365225947540156,2.058327206309069,6.490626069548812,308.78365343770474,0.819304222599271,good,run,03FH
2.9889301657676697,0.0,1.6400000000000001,0.04568874963036966,0.015023624672849942,2.228132337973724,5.89838981572033,29,175.43859649122805,0.010363223344225573,100.0,0.8244298945658847,2.159388025582663,6.318014221269135,303.3617920584707,0.8066272541433052,good,run,03FH
3.0269094109535217,0.0,1.4200000000000002,0.1875505730266006,0.015235817005772931,2.0572878087712247,5.550655556167641,29,175.43859649122805,0.008828036648082424,100.0,0.8089957103951397,2.014133917811606,4.9009942432986096,176.9116893487539,0.7927014533984302,good,run,03FH
3.1009348034858704,0.0,1.6400000000000001,0.044489177143397264,0.016552551851860907,2.575746663791054,6.314744713580774,29,176.47058823529412,0.008212499258620793,100.0,0.8500991134962551,2.076116713211561,6.379496110294689,308.3125516600416,0.8324500637220961,good,run,03FH
2.9589675664901733,0.0,1.22,0.030947321802348007,0.01591148049807578,2.3417436925146666,6.0436452875998725,30,176.47058823529412,0.00856597096870017,100.0,0.8341267365458302,2.2290613560969743,6.319325975195872,296.0660153547788,0.8155335398006144,good,run,03FH
2.9389545917510986,0.0,1.22,0.05205675314050661,0.014721987624627446,2.56866066270673,6.722624379229801,29,176.9926905673512,0.008848913261654191,100.0,0.8566908974199746,2.0358291406393203,4.601920777166301,140.73856126740995,0.8392501344850942,good,run,03FH
2.9639140963554382,0.0,1.32,0.04290332548583608,0.016113399235038194,2.8186424500648,6.468631789675186,30,177.51479289940826,0.007916194885598239,100.0,0.8648937595732449,2.0444639095464665,6.215055138434993,326.3040072921538,0.8472113188028503,good,run,03FH
3.122937858104706,0.0,1.7000000000000002,0.04615363610672638,0.013623680131554789,2.40218507100647,5.839755715391375,30,179.64071856287424,0.008171569473353315,100.0,0.8335294652598103,1.8448318258376422,6.04833949858829,330.96179058097886,0.818152248406963,good,run,03FH
3.027932822704315,0.0,1.38,0.031545648625321145,0.016008110243964778,2.852155263396071,6.534055780915567,30,179.64071856287424,0.011573606809422191,100.0,0.8672832735568409,1.8903915265260482,4.464881022380176,181.02183604751121,0.8508882240425446,good,run,03FH
